Microbiome cohort,Whole serum_GP1,Whole serum_GP2,Whole serum_GP3,Whole serum_GP4,Whole serum_GP5,Whole serum_GP6,Whole serum_GP7,Whole serum_GP8,Whole serum_GP9,Whole serum_GP10,Whole serum_GP11,Whole serum_GP12,Whole serum_GP13,Whole serum_GP14,Whole serum_GP15,Whole serum_GP16,Whole serum_GP17,Whole serum_GP18,Whole serum_GP19,Whole serum_GP20,Whole serum_GP21,Whole serum_GP22,Whole serum_GP23,Whole serum_GP24,Whole serum_GP25,Whole serum_GP26,Whole serum_GP27,Whole serum_GP28,Whole serum_GP29,Whole serum_GP30,Whole serum_GP31,Whole serum_GP32,Whole serum_GP33,Whole serum_GP34,Whole serum_GP35,Whole serum_GP36,Whole serum_GP37,Whole serum_GP38,Whole serum_GP39,Whole serum_GP40,Whole serum_GP41,Whole serum_GP42,Whole serum_GP43,Whole serum_GP44,Whole serum_GP45,Whole serum_GP46,Whole serum_GP47,Whole serum_GP48,Whole serum_GP49,Whole serum_GP50,Whole serum_GP51,Whole serum_GP52,Whole serum_GP53,Whole serum_GP54,Whole serum_GP55,Whole serum_GP56,Whole serum_S0,Whole serum_S1,Whole serum_S2,Whole serum_S3,Whole serum_S4,Whole serum_G0,Whole serum_G1,Whole serum_G2,Whole serum_G3,Whole serum_G4,Whole serum_A1,Whole serum_A2,Whole serum_A3,Whole serum_A4,Whole serum_oligomannose,Whole serum_Core fucose,Whole serum_Outer arm fucose
1,0.0007,0.4996,0.0732,0.0196,0.3174,0.6525,1.4771,1.4256,0.0541,0.8732,1.3843,0.6592,0.8693,1.8533,0.2224,0.8432,0.1035,2.4117,0.5301,0.9436,0.9354,0.1554,7.7562,0.2627,0.9541,4.4573,1.0336,3.0481,3.2471,0.4557,35.2778,1.3764,4.769,2.7859,0.7461,0.4142,0.1722,0.9553,0.639,0.4576,0.2423,3.4925,0.4078,0.3128,2.0953,5.061,0.2127,0.271,0.4576,0.4069,0.2181,0.4502,0.287,0.5163,0.3056,0.1503,14.27,18.69,50.03,13.65,2.33,3.44,6.88,67.81,9.76,8.51,1.64,76.49,9.7629,8.51,4.2,24.78,3.64
1,0.0041,0.0384,0.0373,0.0084,0.0461,0.0955,1.0544,1.7539,0.0693,0.1061,1.5204,0.6357,0.7857,2.13,0.373,0.1315,0.0824,2.3915,0.6719,1.0574,0.88,0.1541,7.3197,0.3814,0.9391,4.8402,1.0536,3.3735,3.9373,0.4263,36.7406,1.3008,4.2421,2.2494,0.937,0.4723,0.1636,1.1063,0.4605,0.7426,0.2972,6.0866,0.3512,0.5039,2.1044,2.7208,0.3418,0.3125,0.307,0.4027,0.3981,0.5679,0.3077,0.3641,0.1432,0.0777,11.9356,19.11,51.41,14.23,2.26,2.12,5.99,68.66,13.06,6.11,0.93,75.84,13.062,6.11,4.18,24.44,3.24
1,0.0041,0.0293,0.0213,0.0053,0.0293,0.074,0.9094,1.5381,0.0591,0.0882,1.9613,0.8817,0.7531,1.9277,0.3918,0.1063,0.0785,3.3168,0.663,0.9191,0.8439,0.1449,7.2547,0.3531,0.8998,5.9272,0.9939,2.9897,4.0296,0.4662,32.5361,1.1323,5.916,2.8053,1.2468,0.4147,0.1836,1.1049,0.4745,0.801,0.32,5.4053,0.4,0.5847,1.7938,3.4602,0.2961,0.3973,0.4433,0.5269,0.4054,0.5051,0.4128,0.374,0.2554,0.144,12.8383,19.52,49.65,14.38,2.62,1.81,6.4,68.14,12.55,7.4,0.87,75.49,12.5457,7.4,3.8,28.75,3.28
1,0.009,0.0345,0.0142,0.0048,0.0381,0.0708,0.5702,1.6216,0.0559,0.0687,1.0139,0.5033,0.5925,2.2492,0.283,0.0951,0.0991,2.4028,0.6419,1.0886,0.855,0.177,7.8267,0.3757,0.8325,5.0511,1.0823,3.5205,4.4381,0.4745,36.2669,1.2216,3.4648,2.0893,1.1156,0.445,0.1718,1.2911,0.4297,0.9607,0.3212,7.4456,0.2641,0.4868,2.1312,2.473,0.3302,0.2849,0.2528,0.4631,0.4745,0.6244,0.3266,0.3148,0.1693,0.0909,10.3686,19.9,50.81,15.38,2.46,1.51,5.05,68.43,14.89,5.98,0.81,74.18,14.891,5.98,4.28,22.41,3.16
1,0.0244,0.017,0.021,0.0061,0.0268,0.0669,0.4889,1.1833,0.0584,0.0793,1.0965,0.3786,0.5553,1.7961,0.3478,0.0973,0.1016,2.2455,0.5571,0.9497,0.7273,0.1451,8.9519,0.2836,0.9451,4.1326,0.8932,2.5745,4.1115,0.4314,36.7197,1.2486,5.0956,2.2364,1.2068,0.469,0.1987,1.3736,0.5943,0.8117,0.2848,6.0382,0.3633,0.6166,2.1804,3.5211,0.3007,0.4455,0.4367,0.5041,0.3998,0.5762,0.3538,0.4125,0.2035,0.1144,9.1479,18.91,52.89,15.59,2.56,1.22,4.77,69.33,13.94,7.47,0.9,74.42,13.9387,7.47,3.4,21.7,3.69
1,0.0047,0.0393,0.0549,0.0131,0.0692,0.1502,0.98,2.0422,0.1038,0.1866,1.7005,0.6003,0.8891,2.5728,0.4506,0.1542,0.1051,2.3943,0.7875,1.2151,0.9586,0.1619,8.3419,0.2484,1.21,5.6415,1.2493,4.5113,3.7022,0.4064,32.9736,1.3331,5.2399,3.5191,0.9571,0.4498,0.1936,1.1046,0.4109,0.6797,0.2923,4.949,0.2082,0.5032,1.5579,1.9043,0.241,0.3169,0.2581,0.3934,0.3412,0.472,0.2667,0.2605,0.1489,0.0801,13.2984,22.48,49.69,11.32,1.96,2.26,6.82,70.08,11.11,4.88,1.21,77.96,11.1127,4.88,4.99,29.2,2.55
1,0.0051,0.0172,0.0199,0.0136,0.0235,0.1088,1.41,1.5691,0.0538,0.1135,1.7647,0.858,0.5865,1.9568,0.3302,0.0968,0.0873,2.6245,0.5883,1.1941,0.9,0.1643,8.7669,0.3539,0.7728,5.0832,1.0336,2.5812,4.4613,0.4332,35.3495,1.2463,5.4791,2.4961,1.1275,0.4479,0.1886,1.1605,0.3634,0.8457,0.3155,6.1845,0.2088,0.6065,1.6588,1.4333,0.2513,0.3673,0.2214,0.4403,0.404,0.5025,0.2757,0.2046,0.1596,0.0893,12.2276,20.01,52.2,12.46,2.08,2.36,6.3,70.11,12.92,4.54,0.76,78.01,12.9191,4.54,3.88,26.14,2.62
1,0.0117,0.0264,0.0682,0.0131,0.1687,0.2233,1.2007,1.5904,0.104,0.2005,1.5663,0.6027,0.6481,1.9454,0.4558,0.1546,0.0842,2.0069,0.5977,1.1688,0.8809,0.1673,8.0916,0.406,1.1235,4.2348,0.9803,3.1009,3.8991,0.4314,34.2216,1.2785,5.1363,3.1184,1.3922,0.4402,0.2055,1.2917,0.5278,0.7987,0.312,5.8414,0.2801,0.642,1.8216,2.9032,0.2856,0.4206,0.3832,0.5843,0.3708,0.5034,0.4021,0.3235,0.2298,0.1322,11.6687,19.38,51.21,14.22,2.55,2.34,6.38,67.47,13.35,6.74,1.25,74.93,13.3477,6.74,3.83,25.07,3.2
1,0.0033,0.019,0.0144,0.008,0.0262,0.1337,0.9222,1.2658,0.0393,0.1273,1.0233,0.501,0.5135,1.8633,0.2115,0.098,0.0773,1.3285,0.4933,0.8652,0.818,0.1393,7.2411,0.2298,0.9123,3.0836,1.0795,2.6212,4.1379,0.445,38.8134,1.2716,4.2686,2.4819,0.8973,0.423,0.168,1.0031,0.6244,0.7765,0.2776,5.7172,0.5668,0.4667,2.4817,5.9662,0.262,0.3493,0.5516,0.3966,0.328,0.49,0.3347,0.4981,0.2264,0.1176,8.6689,16.08,53.74,18.04,2.39,1.73,4.69,67.08,13.23,9.69,0.74,72.76,13.2343,9.69,3.67,19.52,4.11
1,0.0053,0.0167,0.0215,0.0051,0.0281,0.0593,0.8401,1.4084,0.0645,0.0711,1.248,0.5928,0.4781,1.7256,0.3652,0.075,0.1181,2.171,0.525,1.0781,0.7643,0.1536,8.5745,0.3088,0.7847,4.0749,0.8376,2.3862,4.6659,0.5108,36.8031,1.3073,4.14,1.8137,1.4489,0.4365,0.2236,1.2593,0.6639,0.8053,0.3593,5.6017,0.4866,0.4889,1.8188,4.2434,0.358,0.3402,0.4313,0.6219,0.4192,0.5397,0.4978,0.4818,0.2867,0.1646,9.8189,18.35,52.39,15.6,3.01,1.65,5.17,67.93,13.37,8.61,0.83,73.93,13.3692,8.61,3.4,20.72,3.38
